Day Cases Previous
2 27 43781
5 44 27
8 59 44
11 59 59
14 59 59
17 59 59
20 216 59
23 548 216
26 1406 548
29 5509 1406
32 9802 5509
35 19716 9802
38 30587 19716
41 39829 30587
44 44759 39829
47 68413 44759
50 74211 68413
53 75550 74211
56 77241 75550
59 78600 77241
62 79932 78600
65 80386 79932
68 80770 80386
71 80887 80770
74 80945 80887
77 81033 80945
80 81156 81033
83 81435 81156
86 81661 81435
89 81999 81661
92 82280 81999
95 82510 82279
98 82666 82511
101 82883 82665
104 83134 82883
107 83356 83134
110 83787 83356
113 83853 83787
116 83899 83853
119 83917 83899
122 83958 83918
125 83961 83956
128 83972 83964
131 83991 83970
134 84014 83990
137 84042 84018
140 84062 84038
